UniqueCount	AmbigCount
1656793	424596
1644119	636139
1519782	626860
1957443	595598
61261	17500
1490821	798053
323	439578
31799	404
1	2356
5	6724
39	3168
8993	372656
18	99284
24	7504
2	838
5	189587
4	549
0	5738
5	2788
0	4252
4	5379
11	6539
3	3050
0	695
3	24288
1	3627
3	626
0	0
0	3139
5875	6960
0	180
1	1454
0	981
3	13960
2	32673
5	7038
0	366
5	9198
0	172
0	62
1	136
3	2164
0	153841
1	1494
1	181
1	142
0	0
1	54
0	766
0	3914
0	82
0	1260
0	191
0	96
0	1112
0	1685
0	0
0	1897
0	142
0	112
0	0
0	222
0	28
0	146
0	90
12	25849
2	574
2	31
0	62
0	720
0	0
0	417
0	5
0	80
0	222
1	3064
0	258
6	25966
0	964
0	37
0	16
0	614
1	179
2	40
0	1864
0	34
0	49
6	2607
0	145
0	121
3	59
0	78
0	81
0	34
0	50
5	749
0	2331
0	31423
1	18226
0	11
0	23
0	34
0	130
0	16
0	1
2	770
0	0
0	694
1	72
0	19
0	18
0	208
0	4691
0	33
0	4
0	2306
0	281
0	513
0	236
5	20871
1	520
0	260
0	0
0	125
0	0
0	182
0	0
0	117
0	206
6	114
1	1430
0	78
0	94
0	291
1	643
0	53
0	9
0	819
0	1142
15	27
0	23
0	0
0	1
0	14
0	8
0	1
2	9
0	347
3	502
0	239
0	6
0	6
0	3
0	167
0	164
0	145
66	2338
0	1
0	24
0	396
0	1
0	74
0	113
0	103
0	445
0	93
0	83
0	44
0	7
0	0
0	190
0	1
2	1800
2	1422
0	3
0	10
0	2
0	227
0	0
0	0
0	249
0	6
24	33049
0	98
0	24
1	51
0	100
7	658
0	0
0	5
0	20
0	261
0	41
0	163
0	22
0	71
0	1036
0	232
0	0
0	158
0	0
0	0
0	1
0	19
1	152
0	72
0	144
0	150
0	240
0	14
0	1300
0	0
0	7
0	233
0	44
0	64
0	150
0	86
0	116
0	23
0	174
0	8
0	323
0	195
0	139
0	0
0	344
0	0
15	27614
0	80
0	30
0	87
0	213
5	12590
0	2
0	145
0	158
0	0
0	4
0	1023
0	9
0	8
0	157
2	9
0	8
0	31
0	0
0	33
2	11
0	35
0	14
4	164
0	244
0	0
0	14
0	129
0	1500
0	187
0	0
0	213
2	222
276	1950
0	170
0	60
0	12
0	283
2	1563
0	8
0	0
0	0
0	901
0	165
0	0
0	130
2	181
0	15
0	10
0	8
0	0
0	25
0	40
0	66
0	0
1	193
0	4
0	7
0	117
0	161
0	8
0	84
0	23
0	272
0	9
0	96
0	128
0	5
0	136
0	2
0	60
0	14
0	273
0	0
0	0
0	0
0	9
0	6
0	15
0	190
0	4
0	0
0	122
0	239
0	0
17	31986
0	0
0	5
0	76
0	23
0	0
3	5470
0	17
0	75
0	22
0	0
0	11
0	0
0	46
0	0
0	2251
0	18
0	11
0	0
0	6892
0	10
0	59
0	464
0	193
0	47
0	142
0	10
0	715
0	65
0	158
1	1732
0	0
0	0
0	135
0	9
0	40
0	8
0	25
0	111
0	75
0	99
34	9641
0	1879
1	1284
0	4
2	42
0	3
6	8261
0	0
0	335
0	84
1	117
0	92
1	14
0	0
0	2
0	9
0	1224
0	2
0	0
0	0
0	10
0	8
0	60
0	5
0	7
0	95
0	1
0	33
0	76
0	9
0	55
0	84
1	133
0	18
4	465
0	179
0	0
0	177
0	4
0	11
0	20
53	42626
0	94
5	13271
0	107
0	23
0	57
0	113
0	23270
0	0
0	1
0	17
0	61
0	14
0	6
0	123
0	89
0	123
0	10
0	200
0	28
0	0
0	2206
0	8
0	0
0	38
2	12
0	145
0	114
0	8
0	13
0	172
0	118
0	0
0	8
0	0
0	508
0	10
0	9
0	0
0	1
0	84
0	2032
0	158
0	706
0	4
0	2072
0	15
0	0
0	688
1	3
0	23
0	0
0	2
0	39
0	56
0	84
5	206
0	34
0	9
0	9
0	42
0	9
0	7
0	646
0	1286
0	46
0	7
0	10
0	0
0	20
0	43
0	248
2	99
0	1
1	9
0	33
7	612
0	0
0	13
0	0
0	151
0	208
0	35
0	11
0	15
0	4
0	4
0	8
0	9
0	9
0	513
0	123
0	169
0	25
0	113
0	9
0	104
0	0
0	622
0	8
0	4
0	0
0	9
0	104
0	53
0	6
0	3
0	0
0	3
1	704
0	8
0	109
0	7
0	143
0	8
0	6
0	13
0	4
0	64
0	451
0	1
0	60
0	646
0	0
0	44
0	0
0	0
0	14919
0	19
0	10
7	1531
0	140
0	0
1	88
159	78176
0	0
0	826
0	14
0	7
0	139
0	13
0	7
0	12
0	10
0	43
0	7
0	0
1	303
0	87
1	720
0	43
0	151
0	0
0	9
10	44
0	0
0	137
0	0
0	132
0	11
0	0
0	119
0	149
0	8
0	0
0	112
0	45
0	9
0	3
0	6
0	69
0	9
0	3
0	23
0	54
1	1226
0	11
0	3
3	178
0	20
0	15
0	11
1	45
6	473
0	174
325	3100
3	18180
0	94
0	8
0	0
0	241
0	48
0	10
0	61
0	7
0	75
0	118
0	259
0	13
0	1
0	57
0	10
0	8
0	8
0	196
0	6
0	0
0	12
0	0
0	8
0	85
0	111
0	146
0	8
0	9
0	19
0	38
0	9
0	43
0	6
0	7
0	8
0	94
0	8
0	106
0	9
0	3
0	9
0	0
0	7
0	9
0	0
0	0
0	8
0	1
0	241
0	3
0	4
0	6
0	115
0	60
